"nik","nama","tempatlahir","tanggallahir","jekel","alamat","agama","status"
"5371832810892392","Ani Susanti S.IP","Kupang","1978-04-17","1","Jr. Nakula No. 896, Salatiga 89097, JaTim","4","1"
"1213545805968178","Salimah Ira Puspasari M.Ak","Padangpanjang","2017-07-24","1","Psr. Wahidin Sudirohusodo No. 169, Makassar 43364, JaBar","2","1"
"5483856812982048","Mila Fujiati","Administrasi Jakarta Selatan","1999-10-14","1","Jln. Abdul Rahmat No. 870, Manado 69023, SulSel","1","1"
"4737966111176071","Uli Gina Wastuti S.IP","Sungai Penuh","2009-04-22","0","Jln. Baja No. 831, Tangerang 80441, SulBar","4","0"
"5904362406120369","Eka Rika Lailasari","Batam","2017-02-18","0","Ds. Antapani Lama No. 35, Administrasi Jakarta Barat 74488, KalBar","1","0"
"2080225302126344","Betania Pertiwi","Tangerang Selatan","1976-05-25","0","Dk. Sugiyopranoto No. 853, Sorong 62158, Bali","4","1"
"2579265105052099","Gabriella Permata","Semarang","1972-07-22","1","Ki. Bank Dagang Negara No. 769, Bandar Lampung 32309, DIY","5","0"
"2822537005088282","Bakianto Nyoman Kurniawan S.Ked","Padang","2017-03-25","0","Jr. Warga No. 511, Probolinggo 72812, NTT","5","1"
"5440616309167097","Anom Pranowo","Pematangsiantar","1980-09-14","0","Jln. Industri No. 842, Depok 21347, Bengkulu","3","1"
"0083096112180772","Uli Yuni Agustina","Pasuruan","1975-05-12","0","Psr. Sam Ratulangi No. 848, Bau-Bau 52063, Riau","1","1"
"5332321301017246","Asirwada Wijaya","Bandung","1996-11-22","0","Kpg. K.H. Maskur No. 798, Pekalongan 86737, Bali","4","1"
"2786457107022554","Edward Sihotang","Depok","1971-04-22","1","Jr. Casablanca No. 908, Samarinda 20696, Lampung","5","1"
"8058790308012861","Bakti Setiawan","Prabumulih","2012-07-23","0","Jr. Baranang Siang Indah No. 373, Bandung 71523, Jambi","2","1"
"3027402406115690","Gantar Sitompul","Dumai","1970-02-05","1","Dk. Badak No. 577, Pematangsiantar 11449, Aceh","1","1"
"5715520102178335","Gina Zulaika","Pariaman","1978-10-14","1","Dk. Zamrud No. 767, Tual 20490, Aceh","4","0"
"4305614110077553","Karna Prabowo","Batu","2015-05-27","1","Psr. Baik No. 573, Pematangsiantar 71978, Riau","5","0"
"6842775608158887","Farah Yolanda","Padangsidempuan","2012-02-07","1","Ki. Otista No. 658, Sungai Penuh 89455, Banten","4","1"
"5379996712913483","Gasti Nuraini","Langsa","2007-08-07","0","Gg. Hasanuddin No. 750, Magelang 34258, NTT","3","1"
"3477756710049131","Rahmat Setiawan","Palangka Raya","2016-06-18","0","Jr. Bahagia  No. 411, Singkawang 79103, Jambi","1","0"
"9492381209144107","Citra Lailasari","Bau-Bau","2014-04-30","0","Ds. Bagonwoto  No. 649, Tanjungbalai 76798, Papua","4","1"
"8880791012016874","Dinda Gina Wulandari S.Farm","Palangka Raya","2007-03-26","1","Ds. Abdul. Muis No. 499, Subulussalam 62164, SulSel","3","0"
"8666071405090372","Restu Jessica Kusmawati S.Psi","Parepare","2005-02-02","1","Ki. Flores No. 180, Cimahi 16214, SulTra","5","1"
"2848880408025813","Keisha Yulianti M.Kom.","Serang","2015-04-17","0","Ki. Kusmanto No. 819, Parepare 19944, SumUt","5","0"
"8381707110166970","Nugraha Hartana Firmansyah","Sibolga","1989-02-16","0","Jr. Baja Raya No. 406, Pematangsiantar 95169, Riau","2","1"
"4254720503151544","Prabu Prakasa","Bandung","2004-11-24","0","Gg. Raya Ujungberung No. 675, Sabang 93645, KepR","2","0"
"2755881407037009","Wani Mandasari","Gorontalo","1992-06-17","1","Jln. Bakau Griya Utama No. 833, Bukittinggi 64113, Bengkulu","2","0"
"5767562105143993","Gasti Mala Winarsih","Pematangsiantar","1988-06-19","0","Jr. Sutarto No. 529, Palembang 16092, NTT","0","0"
"6094285604981190","Anita Mandasari","Cimahi","1999-03-27","1","Psr. Badak No. 288, Surabaya 21814, Jambi","0","1"
"5272390402949151","Asmadi Prabowo","Payakumbuh","1995-09-08","0","Gg. Sugiyopranoto No. 115, Lubuklinggau 91947, KalTim","1","1"
"0295166904986755","Jasmin Agustina","Tasikmalaya","1977-10-28","0","Ki. Perintis Kemerdekaan No. 522, Probolinggo 84250, KalBar","3","0"
"5253471302979212","Rini Qori Farida","Magelang","2011-12-29","1","Dk. Kyai Gede No. 227, Padang 80486, JaBar","5","0"
"3363976602004442","Balapati Firgantoro","Surakarta","1995-11-26","1","Psr. Umalas No. 977, Tangerang 93883, DKI","2","1"
"4430967103149244","Sabri Prakasa","Langsa","2003-11-20","1","Gg. Moch. Toha No. 441, Langsa 97303, KalUt","0","0"
"8588914111178195","Ifa Hafshah Riyanti","Banjar","2000-12-28","0","Psr. Supomo No. 356, Surabaya 30473, NTT","1","0"
"9327511906985459","Virman Aditya Haryanto","Administrasi Jakarta Barat","1995-06-24","0","Dk. Ters. Pasir Koja No. 768, Administrasi Jakarta Barat 90587, Riau","4","0"
"5698852908041693","Rangga Setiawan","Makassar","1990-09-04","0","Gg. Tambak No. 351, Sorong 15385, KalUt","0","1"
"7477256211033749","Ciaobella Samiah Widiastuti","Samarinda","2011-05-22","0","Dk. K.H. Wahid Hasyim (Kopo) No. 130, Pariaman 80856, KalTeng","3","1"
"1876591704901617","Latika Lalita Zulaika","Cirebon","1995-07-23","1","Ki. Sutami No. 342, Lubuklinggau 84563, Bali","0","0"
"6924390209044210","Vivi Zulaika S.Pd","Pekalongan","1996-04-05","1","Kpg. Katamso No. 86, Lubuklinggau 93689, KalTeng","3","1"
"7484940808155113","Rina Widiastuti","Tangerang","2003-03-24","1","Jr. Baranang Siang Indah No. 17, Administrasi Jakarta Pusat 22029, PapBar","4","1"
"8902565911148359","Upik Hakim","Pagar Alam","1980-01-26","1","Dk. Bayam No. 505, Surabaya 30750, SumSel","0","1"
"7996202501005368","Kusuma Saptono S.Kom","Palangka Raya","1988-06-25","1","Jln. Raya Ujungberung No. 493, Medan 91757, KalUt","3","1"
"1697902511118697","Widya Lailasari","Tarakan","2018-06-12","1","Jln. Bakti No. 615, Balikpapan 79927, KalTeng","4","0"
"5013062111913734","Nilam Suartini","Padangsidempuan","1985-07-24","0","Ki. Cokroaminoto No. 765, Tomohon 79526, DKI","2","1"
"8503966912007647","Muhammad Prabowo","Payakumbuh","1974-01-31","0","Ki. Batako No. 594, Pontianak 18074, DIY","2","0"
"7616702310054932","Nadine Kusmawati","Bengkulu","1978-06-22","1","Ds. Soekarno Hatta No. 736, Sawahlunto 74994, Bengkulu","1","0"
"9575644606986028","Umar Anggriawan","Lhokseumawe","1983-07-10","0","Jr. Sadang Serang No. 772, Sawahlunto 47395, JaBar","0","0"
"2933295907120953","Ellis Violet Utami","Dumai","2017-03-15","1","Ki. Bagis Utama No. 201, Tarakan 93227, JaTim","2","0"
"5815475611962290","Kartika Mulyani S.T.","Mojokerto","1977-08-13","0","Kpg. Jakarta No. 304, Payakumbuh 91072, BaBel","3","0"
"5691285401051661","Hamima Alika Mandasari S.Pt","Administrasi Jakarta Selatan","1990-04-04","0","Ki. Jagakarsa No. 455, Kupang 18034, JaTeng","1","1"
"9825464903137304","Digdaya Maryadi","Kotamobagu","1980-01-24","1","Jln. Soekarno Hatta No. 318, Mojokerto 62141, SumBar","0","1"
"7276406402031174","Kajen Vero Winarno","Semarang","1971-01-17","1","Psr. Setiabudhi No. 761, Bogor 82507, KalBar","2","1"
"9145174111950306","Violet Melani","Metro","2005-06-07","1","Ds. Rumah Sakit No. 733, Serang 28598, SumSel","3","0"
"2961760404890904","Lili Yani Utami S.Sos","Banjarbaru","2001-08-28","0","Jr. Dago No. 759, Makassar 86948, Riau","1","0"
"2306105810997741","Shania Yolanda","Sawahlunto","1990-06-25","0","Jr. Suharso No. 999, Sabang 84658, KalTim","1","0"
"4720155412142389","Taufan Nashiruddin","Cilegon","1970-06-09","1","Psr. Raden Saleh No. 619, Tangerang 53993, NTB","5","1"
"4853632907968787","Ellis Widiastuti","Singkawang","1972-08-25","1","Jln. Baya Kali Bungur No. 724, Administrasi Jakarta Pusat 50208, SumBar","1","1"
"8218982611137245","Opung Nashiruddin","Tegal","2010-03-29","0","Ki. Mulyadi No. 649, Kotamobagu 10205, Gorontalo","3","0"
"2479680409187163","Utama Cemplunk Winarno S.Ked","Salatiga","1973-10-21","1","Kpg. Bayam No. 117, Administrasi Jakarta Selatan 85052, SumBar","2","0"
"3252492903897917","Laila Suryatmi","Balikpapan","2015-01-05","1","Gg. Bakin No. 657, Pagar Alam 91550, Lampung","1","0"
"6169041510966352","Rusman Saragih","Jambi","1974-04-15","0","Psr. Rajawali Barat No. 146, Banjarmasin 98318, MalUt","5","1"
"3872541610067584","Muni Ade Sihombing","Palu","2001-08-28","0","Kpg. Diponegoro No. 829, Jambi 23561, JaTeng","1","0"
"6041806711900802","Jayadi Ajiman Halim","Batu","2016-05-07","0","Dk. Basmol Raya No. 46, Kotamobagu 30552, SumBar","4","0"
"5847285405052743","Warsa Nashiruddin","Tual","2001-03-03","0","Psr. B.Agam Dlm No. 974, Tegal 92251, Aceh","3","0"
"7456686302197606","Cemeti Mumpuni Manullang","Sorong","1986-11-07","1","Kpg. Bayam No. 255, Cimahi 78339, BaBel","0","1"
"1561166207113106","Ida Dina Rahayu M.M.","Singkawang","2015-02-18","1","Jln. Rajawali Timur No. 862, Denpasar 29181, JaBar","3","0"
"2631504108992838","Uchita Wastuti","Bengkulu","1976-01-30","1","Dk. Baung No. 140, Bogor 14874, Gorontalo","5","1"
"8148413101004290","Rini Ika Pratiwi S.Pt","Sukabumi","2019-02-17","0","Kpg. Laswi No. 916, Balikpapan 67105, SulBar","3","0"
"3823895606942583","Mursinin Putra","Ternate","1976-03-18","0","Ds. Jambu No. 37, Depok 97873, BaBel","4","1"
"6136980202960808","Hilda Hesti Mandasari S.Ked","Bukittinggi","1998-10-17","0","Jr. Ir. H. Juanda No. 162, Jayapura 14420, SulUt","3","0"
"0384556402193259","Mila Siska Novitasari","Surabaya","2002-02-15","0","Jr. Bahagia  No. 601, Depok 60316, Riau","3","0"
"9577034302011110","Puput Suartini","Banjarmasin","1972-11-30","1","Ds. Siliwangi No. 455, Denpasar 44227, SulTra","0","0"
"5456362507109889","Kunthara Rajata","Bengkulu","2017-01-24","1","Dk. Daan No. 795, Lubuklinggau 11592, JaTeng","5","1"
"8991682108162374","Almira Nuraini S.Psi","Dumai","1995-11-29","1","Jln. Untung Suropati No. 823, Prabumulih 36826, MalUt","2","0"
"6834336007044515","Elma Violet Hasanah S.I.Kom","Bogor","1971-05-13","0","Dk. Hang No. 470, Cilegon 59605, MalUt","4","1"
"2337994901951447","Yosef Hardiansyah","Manado","2011-11-05","0","Ds. Raden Saleh No. 860, Pematangsiantar 86234, Riau","2","0"
"0119036508908502","Ifa Laksita","Batam","2000-06-01","0","Jln. Bakau Griya Utama No. 9, Pekanbaru 28043, DKI","1","0"
"6587275502128225","Okta Sihotang","Pasuruan","1983-11-17","0","Ds. BKR No. 140, Semarang 61728, PapBar","2","1"
"0348440404967965","Mala Nilam Safitri","Tomohon","1997-07-22","0","Dk. Abdul No. 480, Metro 10795, SumBar","2","1"
"9843594710158963","Margana Prasasta","Mojokerto","1981-07-05","1","Jln. Pattimura No. 954, Prabumulih 67142, SumUt","0","1"
"9523894511983000","Ade Astuti S.Pt","Payakumbuh","1988-10-31","1","Dk. Otista No. 159, Banda Aceh 67869, MalUt","1","0"
"0853160410027574","Rahmi Nasyidah","Tegal","1987-08-22","0","Ds. Gardujati No. 680, Solok 55030, SumSel","1","0"
"6868566808971858","Daruna Candra Ardianto S.E.","Banjarmasin","1993-12-27","1","Ki. Bambu No. 815, Blitar 15862, SulSel","2","1"
"7764030909979147","Usyi Wijayanti","Yogyakarta","1973-09-05","0","Ds. Bayam No. 422, Tangerang 46246, JaTim","3","0"
"8195165105972557","Betania Ami Hariyah S.IP","Mojokerto","2013-08-11","1","Ki. Rajiman No. 645, Palopo 35351, JaBar","2","0"
"0392275302993395","Kasiyah Nasyiah","Surakarta","2019-02-09","0","Ds. Taman No. 901, Pariaman 22972, Jambi","0","1"
"2911396707084646","Ian Latupono M.M.","Jayapura","1993-08-25","1","Kpg. Baja Raya No. 482, Kupang 70363, KepR","1","1"
"3674370408188985","Panca Simanjuntak","Prabumulih","1991-06-23","1","Psr. Sudirman No. 957, Bengkulu 86519, Aceh","1","0"
"8513145401041430","Tomi Haryanto S.Gz","Bukittinggi","1992-06-22","1","Kpg. Radio No. 391, Padangsidempuan 38311, KalUt","0","0"
"1201172404936136","Kamila Mulyani S.Kom","Medan","1971-08-30","0","Kpg. Nanas No. 98, Pangkal Pinang 30693, BaBel","1","0"
"6257135206919419","Emong Bakda Sitompul","Tasikmalaya","1972-06-17","0","Ki. Banda No. 803, Makassar 88456, Gorontalo","2","1"
"0646741512995651","Hartana Simbolon","Manado","1984-08-25","0","Ki. Rajiman No. 835, Metro 72679, DKI","3","1"
"5530061911099289","Johan Hakim S.Gz","Batu","2019-03-08","0","Jln. Basudewo No. 337, Metro 17044, Papua","2","0"
"1314480209159181","Septi Pertiwi","Ternate","1988-07-10","0","Ki. Nanas No. 376, Kediri 54053, NTB","3","1"
"0752876009075772","Alika Andriani","Banjar","1990-02-07","1","Kpg. Ciumbuleuit No. 907, Medan 39914, SumSel","5","0"
"7451425609900151","Puspa Eva Purwanti","Surabaya","2013-01-21","1","Ds. Salatiga No. 20, Probolinggo 53269, SumBar","3","1"
"7754866612174085","Belinda Puspita","Bogor","1972-05-28","1","Jln. Bakau Griya Utama No. 994, Palembang 72982, SulTeng","3","0"
"4171846106903249","Maida Agustina","Palopo","1989-01-23","0","Kpg. Ekonomi No. 209, Salatiga 16615, JaTim","0","1"
"2350091209924147","Belinda Hani Suryatmi S.Psi","Bogor","2008-10-22","0","Jr. Madrasah No. 633, Probolinggo 66434, SulTra","5","0"
"5848122106026742","Harjo Wahyudin","Kendari","1992-12-23","0","Kpg. Pasteur No. 516, Sabang 75605, Jambi","2","1"
"6740210108966682","Sari Pudjiastuti","Tegal","1972-10-31","1","Psr. Fajar No. 183, Ambon 90251, BaBel","4","1"
"6107825811042867","Wani Lestari","Pariaman","1995-02-24","1","Gg. Sutarto No. 591, Semarang 45256, KalTeng","5","0"
"4627146002129782","Makara Anggriawan","Lubuklinggau","1998-10-14","0","Dk. Baha No. 750, Bengkulu 18734, Riau","3","0"
"6815397012946631","Maria Maida Riyanti","Batam","1986-05-09","1","Kpg. Bakaru No. 287, Cilegon 83635, Banten","5","1"
"8289291403974981","Bagya Hendra Kuswoyo","Bengkulu","1999-08-06","0","Ki. Rajawali No. 136, Samarinda 21362, KalUt","1","1"
"1269851204962089","Saiful Najmudin","Batam","1985-11-09","0","Gg. Bak Mandi No. 265, Tomohon 59622, KalUt","0","0"
"5399844703137681","Eluh Situmorang","Madiun","1999-09-24","1","Psr. Cikapayang No. 461, Denpasar 90044, Riau","5","0"
"6832766206926014","Cecep Kusumo S.E.","Yogyakarta","2014-02-27","1","Dk. Bah Jaya No. 59, Mataram 80029, NTT","3","1"
"8592820707013301","Ida Winarsih S.Kom","Pangkal Pinang","1973-03-27","0","Jln. Suryo Pranoto No. 939, Blitar 48684, SumSel","1","1"
"5193712202057172","Yulia Andriani","Cirebon","1983-10-17","1","Jln. Reksoninten No. 602, Sukabumi 66817, SulTeng","2","0"
"8567396710090647","Lala Mardhiyah","Bukittinggi","1995-04-03","1","Kpg. Cikutra Barat No. 640, Pasuruan 40727, BaBel","3","0"
"7445002803142662","Julia Jasmin Sudiati","Bitung","2016-07-15","1","Dk. Sutami No. 153, Tangerang 34616, Maluku","1","1"
"3944117004954775","Elisa Handayani","Tasikmalaya","1981-06-27","1","Jln. Kiaracondong No. 720, Administrasi Jakarta Utara 23918, SulBar","1","1"
"4312720609990574","Banawi Hidayanto S.Farm","Bontang","2012-10-11","1","Jr. Babadan No. 479, Padang 61828, KalTeng","1","0"
"2840967004086858","Samsul Cayadi Gunawan M.M.","Padangpanjang","2016-11-05","0","Gg. Pasteur No. 411, Administrasi Jakarta Barat 73044, Bengkulu","4","1"
"5715960803169989","Betania Lailasari","Cirebon","1990-01-02","1","Dk. Abdul No. 45, Jambi 71876, SumUt","1","0"
"2064785312133475","Erik Natsir M.Farm","Denpasar","2004-02-28","1","Ds. Badak No. 843, Tanjung Pinang 14689, KalBar","2","1"
"3794841902003468","Vera Suci Zulaika","Cimahi","1989-06-21","0","Jr. Salam No. 263, Yogyakarta 72313, KalTim","2","0"
"3930424109924199","Rahayu Wahyuni","Sawahlunto","1978-09-06","0","Ki. Labu No. 358, Metro 76014, SumUt","0","0"
"1413052207118054","Endah Rahayu","Malang","2009-11-09","0","Jln. Salam No. 316, Depok 58778, PapBar","5","0"
"5798500803937658","Kardi Mustofa S.I.Kom","Banjar","1991-01-08","0","Ds. Bacang No. 522, Tasikmalaya 61529, Bali","0","1"
"7318042606004839","Galih Leo Wahyudin","Kendari","1986-11-23","1","Dk. Bakau Griya Utama No. 550, Medan 24549, Maluku","2","1"
"7570882512130809","Kusuma Naradi Dongoran M.Farm","Prabumulih","1974-06-07","1","Ds. Suryo Pranoto No. 507, Binjai 51781, BaBel","4","1"
"9358131710913222","Ika Ellis Nuraini","Cirebon","2000-11-09","1","Ds. Jaksa No. 201, Padangpanjang 24389, Riau","1","1"
"8321841303118405","Alika Mardhiyah","Pangkal Pinang","1979-07-19","0","Kpg. Supono No. 687, Cimahi 15563, KalBar","4","1"
"5080892210139862","Jelita Eva Wastuti S.Gz","Kediri","2006-01-24","0","Gg. Abdullah No. 165, Langsa 18136, SumUt","5","0"
"7903695105907852","Mursinin Heru Lazuardi M.M.","Kupang","1996-09-29","1","Gg. Bambu No. 553, Kupang 60243, Riau","3","1"
"8734741805147930","Ifa Vera Rahimah M.TI.","Medan","1971-11-20","1","Psr. Dipatiukur No. 607, Padangsidempuan 23782, JaBar","5","0"
"0403372710066268","Rafi Maryanto Suwarno","Tarakan","1990-05-15","0","Ki. Krakatau No. 437, Bitung 53293, NTB","5","0"
"2636964701980018","Elon Prasetyo","Administrasi Jakarta Pusat","2007-10-30","1","Ki. Bambu No. 67, Tebing Tinggi 57764, SumSel","4","0"
"6183700401087094","Harjasa Marbun","Bitung","2018-05-03","1","Ds. Madiun No. 271, Samarinda 25293, Banten","5","0"
"2220393012158347","Uli Wijayanti S.Gz","Banjar","1976-03-18","1","Ki. Tentara Pelajar No. 932, Solok 25120, DIY","4","0"
"8272226204095602","Jasmin Riyanti","Bima","2001-07-19","0","Dk. Honggowongso No. 702, Ternate 18680, SulTra","1","1"
"8276091106108731","Jayadi Wibisono","Lhokseumawe","1986-06-13","0","Ds. Sugiono No. 799, Tidore Kepulauan 96365, JaTim","0","1"
"9803591006089823","Vera Wastuti","Prabumulih","2012-04-23","1","Dk. Hasanuddin No. 265, Sukabumi 74679, JaTim","1","0"
"4312132701071099","Bagiya Wasita S.Psi","Tarakan","1994-11-11","0","Jln. Bawal No. 500, Palopo 86718, Bali","2","1"
"0811080302984708","Asirwada Ilyas Wibowo","Tangerang","1999-03-25","1","Jln. Ki Hajar Dewantara No. 232, Payakumbuh 66692, JaTeng","3","1"
"8159453007089185","Malika Anggraini M.TI.","Langsa","2015-04-06","1","Ki. Raden Saleh No. 509, Tanjung Pinang 27397, KalUt","5","1"
"7780362304970316","Juli Najwa Anggraini","Bukittinggi","1997-08-17","0","Ds. Radio No. 436, Bogor 20848, SumSel","4","0"
"9614465203137665","Karta Manullang","Jambi","2018-09-04","0","Jln. Tangkuban Perahu No. 915, Tanjungbalai 12302, BaBel","2","1"
"7621271304975626","Cakrajiya Samosir","Solok","1976-10-05","1","Jln. Sutarto No. 999, Salatiga 78484, SulTeng","5","1"
"8687501808890509","Mahdi Manullang S.Pd","Ambon","1979-01-18","0","Psr. Bak Mandi No. 632, Yogyakarta 26576, SumBar","4","1"
"6105792306111124","Aurora Puspasari","Tangerang","1986-11-10","0","Jln. Dahlia No. 710, Blitar 96989, SumUt","5","1"
"7595000503065848","Carla Nasyidah","Langsa","2001-02-13","0","Psr. Baiduri No. 178, Tebing Tinggi 36313, Jambi","0","1"
"3292560512024343","Usman Sabar Sirait","Subulussalam","2016-07-02","0","Jln. Ikan No. 475, Palopo 20551, Gorontalo","3","1"
"2814055708892454","Cager Saragih","Palangka Raya","2001-12-12","0","Ds. S. Parman No. 25, Pematangsiantar 95259, SumSel","1","0"
"8392245101905705","Usman Kuswoyo","Blitar","1971-09-30","1","Psr. Suprapto No. 908, Depok 18512, DIY","0","0"
"5619174603918260","Irma Fujiati","Palopo","1987-05-01","1","Gg. Kalimalang No. 444, Bogor 32082, Banten","2","0"
"9195700502051934","Nova Wulandari","Tidore Kepulauan","1979-02-04","0","Psr. Sutan Syahrir No. 835, Tangerang Selatan 12594, KepR","3","0"
